variant_id,variant,category,how_to_reach,flow_id,flow_name,why_it_differs,finding,severity,wcag_ref,status,owner
V1,Quiet Home,Home state,No pending decisions on the book,G1,Launch and orient,Home lands on the 'Nothing needs you' strip; question 1 is one line and all four position quick-rows show,,,,,
V1,Quiet Home,Home state,No pending decisions on the book,H1,Quiet-book glance,The entire flow exists only in this state,,,,,
V2,Busy Home,Home state,One or more pending decisions,G1,Launch and orient,Home lands on decision cards; question 1 dominates the surface and the position list truncates to three rows,,,,,
V2,Busy Home,Home state,One or more pending decisions,H2,Review a pending proposal,The card-reading flow exists only in this state,,,,,
V2,Busy Home,Home state,One or more pending decisions,H3,Approve an entry proposal,Approve exists only in this state,,,,,
V2,Busy Home,Home state,One or more pending decisions,H4,"Veto a proposal, with a reason",The veto sheet is reachable only from a card,,,,,
V2,Busy Home,Home state,One or more pending decisions,H5,Snooze a decision,Snooze exists only in this state,,,,,
V2,Busy Home,Home state,One or more pending decisions,H6,Resolve a stop-trigger card,The stop-trigger card exists only in this state,,,,,
V2,Busy Home,Home state,One or more pending decisions,H7,Choose a post-loss branch,The branch card exists only in this state,,,,,
V2,Busy Home,Home state,One or more pending decisions,H8,Go from Home to the full board,"The dead 'All' link now sits under a truncated three-row list, so the missing rows matter more",,,,,
V3,Paused,Engine state,Engage the kill switch via R2,G4,"Check freshness, or notice the engine is paused",The paused banner is the thing being read,,,,,
V3,Paused,Engine state,Engage the kill switch via R2,R2,Engage or release the kill switch,The flow that produces and clears the banner,,,,,
V3,Paused,Engine state,Engage the kill switch via R2,G1,Launch and orient,"Home renders with the banner above the freshness line, pushing all content down",,,,,
V3,Paused,Engine state,Engage the kill switch via R2,P1,Scan the board,Board renders with the banner; aggregates and rows shift down,,,,,
V3,Paused,Engine state,Engage the kill switch via R2,P2,Drill into a position and come back,Detail renders with the banner,,,,,
V3,Paused,Engine state,Engage the kill switch via R2,R1,Read the exposure picture,Risk renders with the banner above its own kill-switch copy,,,,,
V4,"Non-default band (POLICY, MID)",Display mode,Tap the band chip once or twice (G3),G3,Change the P&L band,The change flow itself; walk all three positions of the cycle,,,,,
V4,"Non-default band (POLICY, MID)",Display mode,Tap the band chip once or twice (G3),G1,Launch and orient,Every money figure on Home re-renders and the trailing band labels change,,,,,
V4,"Non-default band (POLICY, MID)",Display mode,Tap the band chip once or twice (G3),H2,Review a pending proposal,Card premium and key-value figures are banded,,,,,
V4,"Non-default band (POLICY, MID)",Display mode,Tap the band chip once or twice (G3),P1,Scan the board,"Aggregates, per-row P&L, and the section total are all banded",,,,,
V4,"Non-default band (POLICY, MID)",Display mode,Tap the band chip once or twice (G3),P2,Drill into a position and come back,"Economics grid, stop meter, and unrealized row are all banded",,,,,
V5,Position at or past its stop,Position state,A position at 2x credit or more (MSFT at 2.1x),P1,Scan the board,The row escalates from plain to warn at 1.5x to alarm or volatility tint at 2x,,,,,
V5,Position at or past its stop,Position state,A position at 2x credit or more (MSFT at 2.1x),P2,Drill into a position and come back,Stop meter and the whole detail screen take the escalation colour,,,,,
V5,Position at or past its stop,Position state,A position at 2x credit or more (MSFT at 2.1x),H6,Resolve a stop-trigger card,The stop-trigger card exists because a position reached this state,,,,,
V6,Volatility- vs stock-driven adverse move,Position state,MSFT (volatility) against AMD (stock),P1,Scan the board,"Two different tints separate 'adverse mark, thesis intact' from 'the stock moved against us'",,,,,
V6,Volatility- vs stock-driven adverse move,Position state,MSFT (volatility) against AMD (stock),P2,Drill into a position and come back,The attribution block carries the same two-tint vocabulary,,,,,
V6,Volatility- vs stock-driven adverse move,Position state,MSFT (volatility) against AMD (stock),H6,Resolve a stop-trigger card,The volatility-driven card; its whole judgment rests on the split,,,,,
V6,Volatility- vs stock-driven adverse move,Position state,MSFT (volatility) against AMD (stock),H7,Choose a post-loss branch,The stock-driven card; the loss already happened,,,,,
V7,Two-leg position (shares plus a call),Position state,The AMD row on the board,P1,Scan the board,"The row breaks out each leg's own P&L, because line one's total would otherwise read as one contract's",,,,,
V8,Cash-only position,Position state,The NVDA row on the board,P1,Scan the board,"Row reads 'no open contracts' in italic, P&L is an em-dash, and it carries no exit chip or distance bar",,,,,
V8,Cash-only position,Position state,The NVDA row on the board,P3,Tap a row that has no detail,NVDA is one of the four rows that announce a detail screen and then dead-end,,,,,
V9,Server unreachable,Failure state,"Stop the mock server, or run with no network",G1,Launch and orient,Startup fetch fails; bundled fixtures stay on screen and the freshness line still reads 42s,,,,,
V9,Server unreachable,Failure state,"Stop the mock server, or run with no network",H3,Approve an entry proposal,"Approve posts, fails, and the card stays put with no message",,,,,
V9,Server unreachable,Failure state,"Stop the mock server, or run with no network",H4,"Veto a proposal, with a reason","A typed veto reason posts, fails, and is lost with no message",,,,,
V9,Server unreachable,Failure state,"Stop the mock server, or run with no network",H5,Snooze a decision,"Snooze posts, fails, and the card stays put with no message",,,,,
V9,Server unreachable,Failure state,"Stop the mock server, or run with no network",H6,Resolve a stop-trigger card,"Exit-now or hold posts, fails, and the card stays put with no message",,,,,
V9,Server unreachable,Failure state,"Stop the mock server, or run with no network",H7,Choose a post-loss branch,"Branch confirm posts, fails, and the card stays put with no message",,,,,
V9,Server unreachable,Failure state,"Stop the mock server, or run with no network",R2,Engage or release the kill switch,"Kill switch posts, fails, and the button does not change",,,,,
