flow_id,group,flow_name,screens,entry_point,steps,branches,end_state,controls,flags,review_focus
G1,Global,Launch and orient,Home,Launcher icon,"1. App opens on Home, already populated from bundled fixtures | 2. One background fetch replaces that with server data (status, P&L, positions, decisions, risk) | 3. User reads the four dashboard questions in their numbered order","Server unreachable: fixtures stay on screen, freshness line still reads 42s, and nothing says the fetch failed (logged only)","User has an answer to 'does anything need me?', or leaves",None (read only),cold start; silent failure,Reading order of the four numbered sections; whether the circled section numbers are announced; the all-caps section titles
G2,Global,Switch section,All,Any screen,"1. Tap a bottom-nav slot | 2. That section renders and the slot marks itself selected (top rule, filled glyph, semibold label)","Tapping Positions while in Position detail returns to the board, not the detail screen",Target section displayed,Bottom nav slot (Home / Positions / Risk),navigation,"Glyphs are deliberately empty bordered squares, so labels carry the entire meaning; selection conveyed by weight and fill; slots set no role or selected-state semantics"
G3,Global,Change the P&L band,Home; Positions; Position detail,"Home, Positions, or Position detail",1. Tap the 'P&L: FLOOR' chip | 2. It cycles FLOOR to POLICY to MID to FLOOR | 3. Every money figure on that screen re-renders and the trailing band labels update with it,Band is per-screen state: leaving the section and coming back resets it to FLOOR | Risk shows money with no chip on the screen to relabel it,Screen shows figures in the chosen band,"Band chip (Role.Button, onClickLabel 'Change which P&L band is shown')",state change; cycling control,"A cycling control that never shows its full set of states, and whose only feedback is the numbers silently changing"
G4,Global,"Check freshness, or notice the engine is paused",All,Any screen,"1. Read the chrome strip under the app bar | 2. If paused, a dot and the line 'New entries paused. The engine is still managing exits.' sit above the freshness figure",,User knows the data age and whether entries are paused,None (read only),read only; no refresh path,"No pull-to-refresh, manual refresh, or polling: the data age shown is whatever the single startup fetch returned and it does not advance"
H1,Decisions,Quiet-book glance,Home,"Launch, or nav to Home, with nothing pending","1. Read the 'Nothing needs you' strip and the next check time | 2. Read P&L across the four windows: today, week, month, year | 3. Read capital deployed against idle | 4. Read the four position quick-rows, then leave",,No action taken. The intended everyday flow,None (read only),read only; the 90% day,Quiet-state reading order; the check-mark glyph carries no text alternative
H2,Decisions,Review a pending proposal,Home,Home with at least one pending card,"1. Read the card header: type label, action, sub-line, deadline chip | 2. Read the headline figure: annualized percent against the APR gate | 3. Read the key-value grid: premium, IV rank, assignment odds | 4. Tap 'Why the engine wants this (5)' to expand the reasons list | 5. Collapse it again","On the stop-trigger card the reasons are expanded by default, and an attribution split bar replaces the headline figure",User is informed; the card is still pending,"Reasons disclosure (Role.Button, onClickLabel 'Expand reasons' / 'Collapse reasons')",read only; disclosure,Disclosure uses text glyphs for its arrow and does carry an expand/collapse click label; the attribution split is colour-coded with the percentage also written out
H3,Decisions,Approve an entry proposal,Home,"Home, entry card (optionally after H2)","1. Tap Approve, the filled primary-styled button | 2. The app posts the decision, then refetches everything | 3. The resolved card disappears from the list and the nav badge count drops","Post fails: logged, no message, card stays exactly as it was",Card gone. That disappearance is the only success signal,"Approve button (Role.Button, onClickLabel = option label)",writes to server; no confirm; no in-flight state; silent failure,"A money-moving action taken in one tap, with no confirmation, no in-flight state, and an outcome announced entirely by content vanishing from the list"
H4,Decisions,"Veto a proposal, with a reason",Home + modal sheet,"Veto on an entry card, or Hold on a stop-trigger card (both are rejections; both route here)","1. Tap Veto or Hold: a modal bottom sheet slides up over the screen, with a drag handle and a scrim | 2. Read the title 'Why veto this?' and the note explaining that this text is what trains the rubric | 3. Focus the single free-text field (placeholder 'What did the engine miss?'); the soft keyboard opens over the sheet | 4. Type a reason. Confirm veto is disabled while the field is blank and enables on the first non-space character | 5. Tap Confirm veto: sheet dismisses, post with the reason, refresh, card disappears","Tap Cancel: abandons, text discarded | Tap the scrim: abandons, text discarded | System back: abandons, text discarded | Drag the sheet down: abandons, text discarded. Reopening always starts empty | Post fails: logged, no message, the card stays exactly as it was","Card gone and the reason posted, or the veto abandoned with input lost",Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,"The only form in the app: focus movement into and out of the modal, keyboard occlusion of the Confirm/Cancel row, a disabled-until-valid button dimmed to 40% with no stated reason, and four separate dismissals that discard typed input. The sheet says 'veto' even when the Hold button opened it"
H5,Decisions,Snooze a decision,Home,"Home, any card carrying a Snooze option","1. Tap Snooze, ghost-styled and narrower than its siblings | 2. Immediate post, then refresh; the card leaves the list","Post fails: logged, no message, the card stays exactly as it was",Card gone,"Snooze button (Role.Button, onClickLabel = option label)",writes to server; no confirm; no undo; silent failure,"No confirmation, no undo, and no indication of how long a snooze lasts"
H6,Decisions,Resolve a stop-trigger card,Home,"Home, stop-trigger card: the stop was hit, but the adverse move is volatility-driven rather than the stock sliding","1. Read the reasons, which are already expanded on this card type | 2. Read the attribution split: how much of the move is the stock and how much is volatility | 3. Choose Exit now, Hold, or Snooze","Exit now: single tap, shaped like H3 | Hold: opens the reason sheet, H4 | Snooze: H5 | Post fails: logged, no message, the card stays exactly as it was",Card resolved,Exit now / Hold / Snooze buttons,writes to server; colour-carried meaning; no default option; silent failure,"The hold-versus-exit judgment rests entirely on the attribution split, drawn as a tinted bar plus text. Deadline chip is warn-tinted on this card type. No button is primary-styled, since the engine is escalating a conflict rather than recommending"
