flow_id,group,flow_name,seq,kind,step,screens,controls,flags,finding,severity,wcag_ref,status,owner
G1,Global,Launch and orient,0,entry,Launcher icon,Home,,cold start; silent failure,,,,,
G1,Global,Launch and orient,1,step,"App opens on Home, already populated from bundled fixtures",Home,None (read only),cold start; silent failure,,,,,
G1,Global,Launch and orient,2,step,"One background fetch replaces that with server data (status, P&L, positions, decisions, risk)",Home,None (read only),cold start; silent failure,,,,,
G1,Global,Launch and orient,3,step,User reads the four dashboard questions in their numbered order,Home,None (read only),cold start; silent failure,,,,,
G1,Global,Launch and orient,4,branch,"Server unreachable: fixtures stay on screen, freshness line still reads 42s, and nothing says the fetch failed (logged only)",Home,None (read only),cold start; silent failure,,,,,
G1,Global,Launch and orient,5,end,"User has an answer to 'does anything need me?', or leaves",Home,,cold start; silent failure,,,,,
G2,Global,Switch section,0,entry,Any screen,All,,navigation,,,,,
G2,Global,Switch section,1,step,Tap a bottom-nav slot,All,Bottom nav slot (Home / Positions / Risk),navigation,,,,,
G2,Global,Switch section,2,step,"That section renders and the slot marks itself selected (top rule, filled glyph, semibold label)",All,Bottom nav slot (Home / Positions / Risk),navigation,,,,,
G2,Global,Switch section,3,branch,"Tapping Positions while in Position detail returns to the board, not the detail screen",All,Bottom nav slot (Home / Positions / Risk),navigation,,,,,
G2,Global,Switch section,4,end,Target section displayed,All,,navigation,,,,,
G3,Global,Change the P&L band,0,entry,"Home, Positions, or Position detail",Home; Positions; Position detail,,state change; cycling control,,,,,
G3,Global,Change the P&L band,1,step,Tap the 'P&L: FLOOR' chip,Home; Positions; Position detail,"Band chip (Role.Button, onClickLabel 'Change which P&L band is shown')",state change; cycling control,,,,,
G3,Global,Change the P&L band,2,step,It cycles FLOOR to POLICY to MID to FLOOR,Home; Positions; Position detail,"Band chip (Role.Button, onClickLabel 'Change which P&L band is shown')",state change; cycling control,,,,,
G3,Global,Change the P&L band,3,step,Every money figure on that screen re-renders and the trailing band labels update with it,Home; Positions; Position detail,"Band chip (Role.Button, onClickLabel 'Change which P&L band is shown')",state change; cycling control,,,,,
G3,Global,Change the P&L band,4,branch,Band is per-screen state: leaving the section and coming back resets it to FLOOR,Home; Positions; Position detail,"Band chip (Role.Button, onClickLabel 'Change which P&L band is shown')",state change; cycling control,,,,,
G3,Global,Change the P&L band,5,branch,Risk shows money with no chip on the screen to relabel it,Home; Positions; Position detail,"Band chip (Role.Button, onClickLabel 'Change which P&L band is shown')",state change; cycling control,,,,,
G3,Global,Change the P&L band,6,end,Screen shows figures in the chosen band,Home; Positions; Position detail,,state change; cycling control,,,,,
G4,Global,"Check freshness, or notice the engine is paused",0,entry,Any screen,All,,read only; no refresh path,,,,,
G4,Global,"Check freshness, or notice the engine is paused",1,step,Read the chrome strip under the app bar,All,None (read only),read only; no refresh path,,,,,
G4,Global,"Check freshness, or notice the engine is paused",2,step,"If paused, a dot and the line 'New entries paused. The engine is still managing exits.' sit above the freshness figure",All,None (read only),read only; no refresh path,,,,,
G4,Global,"Check freshness, or notice the engine is paused",3,end,User knows the data age and whether entries are paused,All,,read only; no refresh path,,,,,
